# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 711 齐齐哈尔 XXX
S 712 乌兰哈达 XXX
S 713 新郑机场 XXX
S 714 松江南 XXX
S 715 石脑 XXX
S 716 文登南 XXX
S 717 五棵树 XXX
S 718 凉红 XXX
S 719 东乡 XXX
S 720 兴安岭 XXX
S 721 井冈山 XXX
S 722 巩义 XXX
S 723 阳高 XXX
S 724 长治北 XXX
S 725 大庆 XXX
S 726 东阳关 XXX
S 727 烟筒山 XXX
S 728 彝良 XXX
S 729 南尔岗 XXX
S 730 磐石 XXX
S 731 大雁 XXX
S 732 天桥 XXX
S 733 沟口 XXX
S 734 十渡 XXX
S 735 弋阳 XXX
S 736 安庆 XXX
S 737 北屯 XXX
S 738 南通西 XXX
S 739 古城 XXX
S 740 建瓯西 XXX
S 741 孤山子 XXX
S 742 茶陵南 XXX
S 743 固原 XXX
S 744 大邑 XXX
S 745 湖州 XXX
S 746 涞源 XXX
S 747 民权北 XXX
S 748 西华 XXX
S 749 兰考 XXX
S 750 建桥 XXX
S 751 低窝铺 XXX
S 752 乃林 XXX
S 753 喜德西 XXX
S 754 汝箕沟 XXX
S 755 桐子林 XXX
S 756 滥坝 XXX
S 757 松青 XXX
S 758 天水 XXX
S 759 潍坊北 XXX
S 760 郁山 XXX
S 761 漯河西 XXX
S 762 枣庄西 XXX
S 763 伊图里河 XXX
S 764 神头 XXX
S 765 松树林 XXX
S 766 乃托 XXX
S 767 西平 XXX
S 768 新沂南 XXX
S 769 漯河 XXX
S 770 涟水 XXX
S 771 麓谷 XXX
S 772 莱西 XXX
S 773 厦 门 XXX
S 774 头道桥 XXX
S 775 东花园北 XXX
S 776 息烽 XXX
S 777 彭州南 XXX
S 778 章丘南 XXX
S 779 风陵渡 XXX
S 780 羊尾哨 XXX
S 781 岳阳 XXX
S 782 哈尔滨 XXX
S 783 仙桃西 XXX
S 784 察尔汗 XXX
S 785 花溪大学城 XXX
S 786 纳雍 XXX
S 787 蒋村 XXX
S 788 灵武北 XXX
S 789 共青城 XXX
S 790 上普雄 XXX
S 791 铁岭 XXX
S 792 南宁 XXX
S 793 白沙 XXX
S 794 小村 XXX
S 795 温州南 XXX
S 796 黄冈东 XXX
S 797 云居寺 XXX
S 798 嘎什吐 XXX
S 799 昂昂溪 XXX
S 800 全州南 XXX
S 801 裴德 XXX
S 802 开阳 XXX
S 803 甲山 XXX
S 804 涪陵北 XXX
S 805 葛店南 XXX
S 806 岳阳东 XXX
S 807 福田 XXX
S 808 三汇镇 XXX
S 809 崇左 XXX
S 810 汉中 XXX
S 811 梅花山 XXX
S 812 金华南 XXX
S 813 婺源 XXX
S 814 峡江 XXX
S 815 启东 XXX
S 816 邢台 XXX
S 817 新县 XXX
S 818 孔滩 XXX
S 819 靖远西 XXX
S 820 东明村 XXX
S 821 东镇 XXX
S 822 沱沱河 XXX
S 823 白云西 XXX
S 824 横琴 XXX
S 825 高家村 XXX
S 826 肥西 XXX
S 827 名山 XXX
S 828 四道湾 XXX
S 829 盘锦北 XXX
S 830 劲松 XXX
S 831 淮阳南 XXX
